127.0.0.1, 2022-01-08 08:47:44, GET, /admin/static/_2.21.1/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.001395
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/static/_2.21.1/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000672
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/static/_2.21.1/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001010
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/static/_2.21.1/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.001149
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/static/_2.21.1/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.001091
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/static/_2.21.1/css/web2py-codemirror.css, HTTP/1.1, 200, 0.001202
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/static/_2.21.1/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000774
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/static/_2.21.1/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.001204
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/static/_2.21.1/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.001030
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/static/_2.21.1/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000963
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/static/_2.21.1/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000973
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/static/_2.21.1/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000978
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/static/_2.21.1/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.002062
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/static/_2.21.1/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000618
127.0.0.1, 2022-01-08 08:47:44, GET, /admin/static/_2.21.1/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000691
