127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/codemirror/theme/twilight.css, HTTP/1.1, 200, 0.001803
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/codemirror/keymap/sublime.js, HTTP/1.1, 200, 0.001727
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.002160
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.001513
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000380
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000521
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000852
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000409
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000588
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000429
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000784
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000860
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000640
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000627
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000319
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000607
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000571
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000482
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000368
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000210
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000388
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000305
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000496
127.0.0.1, 2022-01-22 12:45:49, GET, /admin/static/_2.21.1/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001252
